action_ind,action_sub,action_sub_code,product_type,action_sub_data,env_ind,env_sub,env_sub_code,env_sub_data,driver_type,ExpertSuggestion,num_obs,rho,rsq,mod_coef,mod_p_value,cor_p_value,cor_sig,mod_sig
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,MEO,178,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",Y,1972,0.218,0.619,0.251,0,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,FOF,152,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct Drivers: Resource Extraction; Direct driver: Pollution,NA,1408,0.16,0.535,0.049,0,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,NMM,182,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",NA,698,0.26,0.551,-0.031,0.6498,0,TRUE,FALSE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,WCH,181,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct Drivers: Resource Extraction: Rates of extraction of living and non-living materials from nature,NA,690,0.351,0.582,0.107,0.0276,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,CRO,183,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct Drivers: Land/Sea-Use Changes: Expansion of agriculture and cities,NA,712,0.447,0.574,0.337,0.0115,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,FOF,152,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct Drivers: Resource Extraction; Direct driver: Pollution,NA,585,0.413,0.48,0.076,0.1795,0,TRUE,FALSE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,MEO,178,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",NA,643,0.326,0.614,0.264,0,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,WOD,184,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct Drivers: Resource Extraction: Rates of extraction of living and non-living materials from nature,NA,712,0.558,0.638,0.75,0,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,NMM,182,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",NA,698,-0.033,0.156,-0.044,0.2824,0.3876,FALSE,FALSE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,WCH,181,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct Drivers: Resource Extraction: Rates of extraction of living and non-living materials from nature,NA,690,0.046,0.17,0.122,0,0.2241,FALSE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,CRO,183,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct Drivers: Land/Sea-Use Changes: Expansion of agriculture and cities,NA,712,-0.012,0.179,0.342,0,0.7496,FALSE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,FOF,152,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct Drivers: Resource Extraction; Direct driver: Pollution,NA,585,-0.008,0.153,-0.074,0.0278,0.8411,FALSE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,MEO,178,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",NA,643,0.001,0.184,0.005,0.8019,0.9727,FALSE,FALSE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,WOD,184,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct Drivers: Resource Extraction: Rates of extraction of living and non-living materials from nature,NA,712,0.012,0.276,0.436,0,0.7523,FALSE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,NMM,182,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",NA,524,0.077,0.108,0.142,0.0012,0.0791,FALSE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,WCH,181,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct Drivers: Resource Extraction: Rates of extraction of living and non-living materials from nature,NA,518,0.052,0.081,-0.012,0.6846,0.234,FALSE,FALSE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,CRO,183,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct Drivers: Land/Sea-Use Changes: Expansion of agriculture and cities,NA,534,0.045,0.091,0.14,0.0845,0.3041,FALSE,FALSE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,FOF,152,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct Drivers: Resource Extraction; Direct driver: Pollution,NA,440,0.072,0.084,0.017,0.6459,0.1303,FALSE,FALSE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,MEO,178,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",NA,486,0.054,0.08,-0.026,0.2988,0.2356,FALSE,FALSE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,WOD,184,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct Drivers: Resource Extraction: Rates of extraction of living and non-living materials from nature,NA,534,0.004,0.09,-0.064,0.1537,0.9306,FALSE,FALSE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,NMM,182,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",NA,599,-0.104,0.194,-0.074,0.0085,0.0109,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,WCH,181,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct Drivers: Resource Extraction: Rates of extraction of living and non-living materials from nature,NA,588,-0.098,0.222,0.061,0.0032,0.0175,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,CRO,183,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct Drivers: Land/Sea-Use Changes: Expansion of agriculture and cities,NA,606,-0.076,0.208,0.176,0.0021,0.0617,FALSE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,FOF,152,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct Drivers: Resource Extraction; Direct driver: Pollution,NA,518,-0.131,0.178,-0.076,9e-4,0.0029,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,MEO,178,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",NA,552,-0.06,0.215,-0.043,0.007,0.1574,FALSE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,WOD,184,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct Drivers: Resource Extraction: Rates of extraction of living and non-living materials from nature,NA,606,-0.089,0.295,0.254,0,0.0285,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,NMM,182,15.5.1,Red List Index,ER_RSK_LSTI,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",Y,3161,-0.087,0.258,0.004,0,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,WCH,181,15.5.1,Red List Index,ER_RSK_LSTI,193,Direct Drivers: Resource Extraction: Rates of extraction of living and non-living materials from nature,Y,3112,-0.179,0.266,-0.006,0,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,CRO,183,15.5.1,Red List Index,ER_RSK_LSTI,193,Direct Drivers: Land/Sea-Use Changes: Expansion of agriculture and cities,Y,3213,-0.126,0.27,-0.016,0,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,FOF,152,15.5.1,Red List Index,ER_RSK_LSTI,193,Direct Drivers: Resource Extraction; Direct driver: Pollution,Y,2651,-0.102,0.239,0.002,0.0013,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,MEO,178,15.5.1,Red List Index,ER_RSK_LSTI,193,"Direct Drivers: Resource Extraction; Indirect-to-Direct Drivers: actions that directly affect nature: Mining (minerals, metals, oils, fossil fuels); Direct driver: Pollution",Y,2831,-0.121,0.261,0.004,0,0,TRUE,TRUE
8.4.2,"Domestic material consumption, by type of raw material (tonnes)",EN_MAT_DOMCMPT,WOD,184,15.5.1,Red List Index,ER_RSK_LSTI,193,Direct Drivers: Resource Extraction: Rates of extraction of living and non-living materials from nature,Y,3218,-0.112,0.24,0.001,0.3765,0,TRUE,FALSE
