action_ind,action_sub,action_sub_code,action_sub_data,env_ind,env_sub,env_sub_code,env_sub_data,DriverType.x,ExpertSuggestion
15.2.1,Forest area certified under an independently verified certification scheme (thousands of hectares),AG_LND_FRSTCERT,193,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area with a long-term management plan (%),AG_LND_FRSTMGT,193,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area within legally established protected areas (%),AG_LND_FRSTPRCT,193,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area within legally established protected areas (%),AG_LND_FRSTPRCT,193,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Forest area certified under an independently verified certification scheme (thousands of hectares),AG_LND_FRSTCERT,193,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Forest area certified under an independently verified certification scheme (thousands of hectares),AG_LND_FRSTCERT,193,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Forest area certified under an independently verified certification scheme (thousands of hectares),AG_LND_FRSTCERT,193,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Forest area certified under an independently verified certification scheme (thousands of hectares),AG_LND_FRSTCERT,193,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area with a long-term management plan (%),AG_LND_FRSTMGT,193,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area with a long-term management plan (%),AG_LND_FRSTMGT,193,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area with a long-term management plan (%),AG_LND_FRSTMGT,193,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area with a long-term management plan (%),AG_LND_FRSTMGT,193,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area within legally established protected areas (%),AG_LND_FRSTPRCT,193,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area within legally established protected areas (%),AG_LND_FRSTPRCT,193,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area within legally established protected areas (%),AG_LND_FRSTPRCT,193,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
15.2.1,Proportion of forest area within legally established protected areas (%),AG_LND_FRSTPRCT,193,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Resource extraction: Rates of extraction of living and non-living materials from nature. Indirect-to-Direct Drivers: actions that directly affect nature: Forestry (logging for wood & biofuels) .,Y
